education_level,experience,location,job_title,age,gender,salary
High School,29,Urban,Data Analyst,34,Male,117600
PhD,3,Suburban,Data Analyst,46,Male,81937
Bachelor's,6,Rural,HR Manager,44,Female,60775
Master's,12,Rural,HR Manager,49,Male,82280
Bachelor's,1,Rural,Clerk,59,Female,17850
High School,4,Urban,Software Engineer,35,Male,67200
Master's,12,Rural,Clerk,51,Female,29920
Bachelor's,15,Urban,HR Manager,37,Female,96250
Master's,4,Urban,Director,58,Male,158400
Bachelor's,14,Rural,HR Manager,56,Female,79475
Bachelor's,24,Rural,Marketing Executive,32,Female,65450
Bachelor's,4,Rural,HR Manager,58,Male,56100
Bachelor's,6,Urban,Technician,26,Female,39000
High School,14,Suburban,Clerk,59,Male,25840
High School,14,Suburban,Director,32,Female,155040
PhD,29,Rural,Clerk,37,Female,52062
Bachelor's,10,Urban,Customer Support,42,Female,37500
PhD,8,Rural,Clerk,36,Male,29749
High School,20,Urban,Customer Support,57,Female,40000
High School,12,Suburban,Data Analyst,42,Female,72960
Master's,17,Rural,Data Scientist,37,Female,138380
Master's,16,Suburban,Customer Support,27,Male,47025
PhD,26,Suburban,Data Analyst,48,Male,163875
High School,2,Rural,Director,47,Male,89760
Bachelor's,23,Suburban,Director,59,Female,245100
PhD,2,Suburban,Data Scientist,24,Female,104500
High School,7,Urban,Customer Support,56,Female,27000
High School,17,Suburban,Technician,46,Female,42180
PhD,2,Suburban,HR Manager,39,Male,71843
PhD,5,Rural,Product Manager,60,Female,126171
High School,23,Urban,Marketing Executive,32,Female,60200
Bachelor's,2,Urban,Director,59,Female,132000
High School,17,Urban,Data Analyst,41,Female,88800
High School,8,Rural,Clerk,44,Male,19040
PhD,5,Rural,Software Engineer,32,Male,92968
Bachelor's,6,Urban,Clerk,57,Male,26000
Bachelor's,27,Rural,Product Manager,38,Female,189762
Bachelor's,20,Urban,Director,30,Female,240000
High School,26,Rural,Data Scientist,44,Male,125119
Master's,0,Urban,Clerk,22,Female,22000
PhD,18,Urban,Data Analyst,44,Male,142500
Bachelor's,3,Rural,Marketing Executive,33,Male,34212
Master's,15,Rural,Product Manager,33,Male,155443
Master's,28,Rural,Clerk,29,Male,44880
Bachelor's,18,Urban,Marketing Executive,34,Female,66500
High School,10,Urban,Clerk,21,Male,24000
Bachelor's,21,Suburban,Director,29,Male,233699
PhD,18,Suburban,Technician,32,Female,67687
Bachelor's,19,Rural,Marketing Executive,44,Female,58012
Bachelor's,7,Urban,Clerk,31,Male,27000
PhD,18,Suburban,Marketing Executive,21,Female,78968
Bachelor's,30,Suburban,HR Manager,24,Female,130625
Bachelor's,22,Suburban,Technician,44,Male,59850
High School,16,Rural,HR Manager,46,Female,67320
Bachelor's,21,Urban,Customer Support,36,Female,51249
Bachelor's,23,Rural,Marketing Executive,30,Female,63962
PhD,29,Rural,Data Scientist,23,Male,208250
Master's,18,Urban,Director,48,Male,250800
Bachelor's,15,Suburban,Director,57,Male,199500
PhD,6,Suburban,HR Manager,52,Male,84906
PhD,3,Suburban,Software Engineer,46,Female,95593
Master's,13,Suburban,Director,33,Female,206910
Master's,28,Rural,Technician,32,Male,67320
Bachelor's,7,Rural,Product Manager,27,Male,109012
Bachelor's,9,Urban,Data Scientist,53,Male,116000
Master's,16,Rural,Director,24,Female,201960
PhD,7,Rural,Technician,26,Male,43031
Master's,14,Rural,Marketing Executive,52,Female,55632
Master's,5,Rural,HR Manager,39,Male,64281
PhD,21,Suburban,HR Manager,38,Male,133890
Bachelor's,25,Suburban,Technician,31,Female,64125
Bachelor's,14,Suburban,Software Engineer,36,Female,113050
PhD,9,Rural,Product Manager,21,Female,146359
PhD,29,Rural,Director,50,Male,312375
Bachelor's,11,Rural,Data Scientist,52,Male,105400
Master's,11,Rural,Data Scientist,32,Female,115940
PhD,18,Rural,Data Analyst,41,Male,121125
High School,16,Rural,Data Scientist,34,Female,97920
High School,20,Rural,Director,36,Male,163200
Master's,4,Suburban,Data Analyst,31,Male,75240
Master's,7,Rural,Marketing Executive,22,Male,44178
Bachelor's,27,Suburban,Marketing Executive,26,Male,78137
Bachelor's,19,Urban,Software Engineer,36,Female,136500
Bachelor's,7,Urban,Director,41,Male,162000
Bachelor's,19,Suburban,Marketing Executive,30,Male,64837
High School,13,Urban,Data Analyst,46,Female,79200
Bachelor's,28,Urban,Data Analyst,38,Male,144000
Bachelor's,18,Rural,Product Manager,52,Female,153425
